Team1,Team2,Map,Team1Wins,Team2Wins,Score
AG,DVS,Standoff,9,6,9-6
AG,DVS,Tunisia,9,4,9-4
AG,WL,Coastal,7,9,7-9
AG,WL,Standoff,9,5,9-5
AG,XLR8,Coastal,9,6,9-6
DVS,Soul,Coastal,9,7,9-7
DVS,Soul,Tunisia,10,8,10-8
DVS,WL,Kurohana,8,10,8-10
DVS,WL,Tunisia,5,9,5-9
GodL,OUG,Coastal,8,10,8-10
GodL,Xrock,Coastal,6,9,6-9
GodL,Xrock,Standoff,10,8,10-8
OUG,Q9,Coastal,2,9,2-9
OUG,Q9,Tunisia,7,9,7-9
Q9,SPG,Kurohana,11,9,11-9
Q9,Wolves,Firing Range,10,12,10-12
Q9,Wolves,Tunisia,9,4,9-4
SPG,Wolves,Kurohana,9,3,9-3
SPG,Wolves,Tunisia,10,8,10-8
SPG,Xrock,Firing Range,9,1,9-1
SPG,Xrock,Kurohana,3,9,3-9
Soul,XLR8,Coastal,7,9,7-9
Soul,XLR8,Kurohana,8,6,8-6
Soul,Xceed,Coastal,9,1,9-1
Soul,Xceed,Firing Range,6,9,6-9
XLR8,Xceed,Firing Range,5,9,5-9
XLR8,Xceed,Kurohana,9,3,9-3
