Team,FirstBloodRounds,Conversions,ConversionRate,ConversionWinRate,NonConversionRounds,NonConversionWinRate, LogoURL
AG,41,19,46.34146341463415,84.21052631578947,22,72.72727272727273, ![AG Logo](https://liquipedia.net/commons/images/thumb/1/1f/All_Gamers_full_allmode.png/414px-All_Gamers_full_allmode.png)
DVS,40,19,47.5,73.68421052631578,21,52.38095238095239, ![DVS Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
GodL,22,11,50.0,81.81818181818183,11,54.54545454545454, ![GodL Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
OUG,24,8,33.33333333333333,87.5,16,37.5, ![OUG Logo](https://liquipedia.net/commons/images/thumb/5/55/OU_Gaming_full_allmode.png/382px-OU_Gaming_full_allmode.png)
Q9,36,18,50.0,83.33333333333334,18,72.22222222222221, ![Q9 Logo](https://liquipedia.net/commons/images/thumb/b/be/Qing_Jiu_Club_full_darkmode.png/800px-Qing_Jiu_Club_full_darkmode.png)
SPG,38,21,55.26315789473685,76.19047619047619,17,47.05882352941176, ![SPG Logo](https://liquipedia.net/commons/images/thumb/b/b4/Stand_Point_Gaming_2022_Lightmode_Logo.png/600px-Stand_Point_Gaming_2022_Lightmode_Logo.png)
Soul,48,27,56.25,92.5925925925926,21,47.61904761904761, ![Soul Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
WL,33,16,48.484848484848484,81.25,17,58.82352941176471, ![WL Logo](https://liquipedia.net/commons/images/d/db/WL_Esports_allmode.png)
Wolves,34,16,47.05882352941176,68.75,18,33.33333333333333, ![Wolves Logo](https://liquipedia.net/commons/images/thumb/5/57/Wolves_Esports_2022_allmode.png/779px-Wolves_Esports_2022_allmode.png)
XLR8,33,15,45.45454545454545,93.33333333333333,18,66.66666666666666, ![XLR8 Logo](https://liquipedia.net/commons/images/d/dd/XLR8_2025_darkmode.png)
Xceed,25,14,56.00000000000001,71.42857142857143,11,54.54545454545454, ![Xceed Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
Xrock,31,14,45.16129032258064,92.85714285714286,17,52.94117647058824, ![XROCK Logo](https://liquipedia.net/commons/images/3/38/Xrock_2025_allmode.png)
