Map,Team,TicksCaptured,OffenseRounds,AvgTicksPerOffRound
Crossfire,XROCK,52,14,3.7142857142857144
Crossfire,DVS,26,6,4.333333333333333
Crossfire,Q9,26,6,4.333333333333333
Crossfire,GodL,20,5,4.0
Crossfire,OUG,18,5,3.6
Crossfire,SPG,17,5,3.4
Crossfire,Wolves,14,5,2.8
Crossfire,Xceed,8,2,4.0
Crossfire,WL,6,3,2.0
Crossfire,XLR8,5,2,2.5
Raid,Soul,24,7,3.4285714285714284
Raid,AG,12,4,3.0
Raid,OUG,11,3,3.6666666666666665
Raid,GodL,9,2,4.5
Raid,DVS,8,3,2.6666666666666665
Raid,SPG,5,4,1.25
Takeoff,Q9,33,13,2.5384615384615383
Takeoff,GodL,23,8,2.875
Takeoff,OUG,21,5,4.2
Takeoff,Wolves,19,11,1.7272727272727273
Takeoff,SPG,7,5,1.4
Takeoff,XLR8,1,2,0.5
