Team,AvgLifeDiff,RoundDiff,TicksCaptured,OffenseRounds,AvgTicksPerOffRound,TicksAllowed,DefenseRounds,AvgTicksAllowedPerDefRound
Soul,-0.05,-2,35,10,3.5,32,10,3.2
AG,0.0,1,12,4,3.0,10,3,3.3333333333333335
Q9,4.0,2,13,3,4.333333333333333,6,3,2.0
WL,-4.0,-2,6,3,2.0,13,3,4.333333333333333
DVS,2.1666666666666665,2,20,6,3.3333333333333335,19,6,3.1666666666666665
XLR8,-7.3,-6,6,4,1.5,20,6,3.3333333333333335
Wolves,10.0,4,6,2,3.0,6,2,3.0
SPG,-10.0,-4,6,2,3.0,6,2,3.0
GodL,4.363636363636363,5,20,6,3.3333333333333335,12,5,2.4
OUG,4.75,4,10,2,5.0,7,2,3.5
XROCK,-4.75,-4,7,2,3.5,10,2,5.0
