Team,Map,Opponent,Best3HillSum,Hills
OUG,Apocalypse,Q9,130.0,"['P1', 'P2', 'P3']"
Q9,Apocalypse,WL,122.0,"['P2', 'P3', 'P4']"
GodL,Summit,SPG,121.0,"['P2', 'P3', 'P4']"
Wolves,Combine,Q9,117.0,"['P2', 'P3', 'P4']"
SPG,Hacienda,XROCK,112.0,"['P2', 'P3', 'P4']"
DVS,Summit,Xceed,111.0,"['P2', 'P3', 'P4']"
Soul,Summit,DVS,105.0,"['P3', 'P4', 'P1']"
XROCK,Summit,WL,105.0,"['P2', 'P3', 'P4']"
XLR8,Hacienda,GodL,96.0,"['P4', 'P1', 'P2']"
WL,Summit,XROCK,75.0,"['P4', 'P1', 'P2']"
AG,Combine,Soul,71.0,"['P2', 'P3', 'P4']"
Xceed,Summit,DVS,64.0,"['P1', 'P2', 'P3']"
