Offense,AvgRoundLen_s,RoundElapsed_s_CI_low,RoundElapsed_s_CI_high,AvgFBElapsed_s,FBElapsed_s_CI_low,FBElapsed_s_CI_high,AvgPlantElapsed_s,PlantElapsed_s_CI_low,PlantElapsed_s_CI_high
AG,81.78571428571429,66.35535714285714,96.57321428571429,18.642857142857142,11.071428571428571,28.071428571428573,62.2,46.894999999999996,78.10249999999999
DVS,73.33333333333333,61.66458333333333,86.58541666666666,17.083333333333332,12.583333333333334,22.67083333333333,39.833333333333336,22.166666666666668,71.67083333333333
GodL,59.6,51.06666666666667,69.26833333333333,20.333333333333332,13.998333333333333,28.133333333333333,42.714285714285715,32.85357142857143,53.01071428571428
OUG,74.63157894736842,63.8421052631579,85.84342105263157,19.894736842105264,13.05,28.949999999999996,41.8,28.1,59.1025
Q9,75.25,65.375,87.13125,29.75,16.621875,45.503125,51.4,33.6,69.8
SPG,93.06896551724138,82.99913793103448,103.10603448275862,42.06896551724138,33.275,51.172413793103445,65.58333333333333,48.833333333333336,82.41666666666667
Soul,75.85365853658537,67.58475609756097,84.73231707317073,24.951219512195124,19.341463414634145,30.78109756097561,63.80952380952381,52.327380952380956,75.66666666666667
WL,58.5,35.5,85.75,22.5,10.0,39.5,31.0,31.0,31.0
Wolves,83.86206896551724,75.86206896551724,91.93103448275862,34.44827586206897,26.651724137931033,43.00086206896552,73.3,57.8,88.005
XLR8,56.642857142857146,42.35535714285714,72.57499999999999,23.928571428571427,14.1375,36.57321428571428,57.0,25.0,87.0
XROCK,88.11111111111111,77.5,99.27777777777777,26.27777777777778,17.49861111111111,36.77916666666667,56.7,40.6,74.2075
