Team,AvgLifeDiff,RoundDiff,AvgTicksPerOffRound,AvgTicksAllowedPerDefRound
OUG,2.8055555555555554,10,4.055555555555555,2.4444444444444446
Wolves,1.8,7,2.4210526315789473,2.8125
GodL,1.0,-1,3.5555555555555554,2.789473684210526
SPG,-4.975,-18,2.25,3.6
DVS,2.823529411764706,5,3.7777777777777777,3.375
Xceed,-4.4,-3,4.0,4.666666666666667
Q9,0.3958333333333333,2,2.9583333333333335,2.625
XROCK,1.5454545454545454,7,3.6875,3.8823529411764706
Soul,-0.05,-2,3.5,3.2
AG,0.0,1,3.0,3.3333333333333335
WL,-4.0,-2,2.0,4.333333333333333
XLR8,-7.3,-6,1.5,3.3333333333333335
