Team,PlantRate,RetakeRate,RoundDiff,FBRate
AG,71.42857142857143,50.0,7,45.16129032258065
DVS,70.0,27.272727272727273,-5,55.932203389830505
GodL,50.0,28.94736842105263,4,46.05263157894737
OUG,57.28155339805825,30.0,-14,46.330275229357795
Q9,58.06451612903226,35.8974358974359,25,48.08743169398907
SPG,61.417322834645674,16.666666666666668,16,50.0
Soul,51.21951219512195,31.57894736842105,-8,48.611111111111114
WL,25.0,0.0,-6,58.333333333333336
Wolves,42.47787610619469,34.48275862068966,6,55.96330275229358
XLR8,21.428571428571427,75.0,-12,29.166666666666668
XROCK,43.82022471910113,23.529411764705884,-16,53.333333333333336
Xceed,80.0,40.0,3,54.54545454545455
